date,open,high,low,close,volume
2021-08-16,36.26,36.26,33.71,33.98,3410848
2021-08-17,33.92,33.98,32.42,33.01,3462529
2021-08-18,33.05,34.17,32.06,33.37,2579901
2021-08-19,32.56,33.46,32.05,32.14,2109646
2021-08-20,32.1,32.59,30.7,30.91,2769340
2021-08-23,31.4,32.49,31.27,31.69,3067676
2021-08-24,32.35,33.38,31.88,33.29,1642150
2021-08-25,33.58,33.95,32.92,33.27,1562970
2021-08-26,33.21,33.93,32.25,32.28,983067
2021-08-27,32.35,33.76,32.24,33.72,827029
2021-08-30,34,34.09,32.87,33.42,839586
2021-08-31,33.22,33.8,32.49,33.57,871472
2021-09-01,33.75,33.76,32.42,33.22,1180768
2021-09-02,33.92,35.1,33.5,34.61,2082175
2021-09-03,34.71,34.77,33.37,34.37,916485
2021-09-07,34.5,35.59,34.15,34.48,1090402
2021-09-08,34.22,34.46,32.7,32.78,1132358
2021-09-09,32.7,33.83,32.63,33.37,869610
2021-09-10,33.78,34.53,33.53,34.11,1308343
2021-09-13,34.75,35.98,34.67,35.62,2229048
2021-09-14,34.33,35.2,33.5,34.04,4228737
2021-09-15,34.34,35.35,34.03,35.16,1635608
2021-09-16,34.79,34.9,33.88,33.97,1435327
2021-09-17,33.96,34.59,33.5,34.11,1612093
2021-09-20,32.7,33.5,30.89,31.64,3240726
2021-09-21,32.02,32.42,30.85,31.15,1714786
2021-09-22,31.71,32.1,31.46,31.51,1269174
2021-09-23,31.94,32.43,31.65,32.18,1258269
2021-09-24,32,34.28,32,34.15,2977999
2021-09-27,33.96,35.15,33.82,35.09,2062697
2021-09-28,34.63,34.75,32.85,33.58,1894162
2021-09-29,33.6,33.79,31.83,32.19,1687366
2021-09-30,32.58,33.4,32.22,32.23,1249639
2021-10-01,32.11,32.41,30.98,31.89,1376192
2021-10-04,31.64,31.69,30.62,30.87,1407645
2021-10-05,31,31.24,30.29,30.33,1266692
2021-10-06,30.17,30.29,28.85,29.57,1928127
2021-10-07,30,30.8,29.86,30.43,1278150
2021-10-08,30.52,31.13,30.03,30.21,884354
2021-10-11,30.54,31.48,30.33,30.9,1320850
2021-10-12,30.9,32.16,30.9,31.99,1394070
2021-10-13,32.04,32.64,31.7,32.59,967790
2021-10-14,32.84,33.62,32.54,33.04,1134982
2021-10-15,33.53,34.31,33.06,33.98,1230109
2021-10-18,33.66,34.19,33.27,34.06,791234
2021-10-19,34.11,35.67,34.05,35.16,1787860
2021-10-20,35.29,36.44,34.82,36.22,1329048
2021-10-21,35.95,36.25,35.26,35.39,842167
2021-10-22,35.39,36.7,35.34,36.51,1138263
2021-10-25,36.63,38.58,36.63,38.1,1812773
2021-10-26,37.89,38.1,32.88,33.48,7365337
2021-10-27,33.13,34.2,30.5,32.76,6601072
2021-10-28,32.69,35.09,32.12,34.67,1618109
2021-10-29,34.11,34.68,33.35,33.85,998929
2021-11-01,33.86,34.83,33.21,34.44,1292102
2021-11-02,34.69,34.7,33.61,33.84,933907
2021-11-03,33.8,35.2,33.65,34.94,1118239
2021-11-04,35.1,37.47,34.63,37.04,2570237
2021-11-05,39.2,39.54,35.66,36.61,2867991
2021-11-08,37.51,42.12,37.43,41.69,5072699
2021-11-09,41.06,42.57,38.86,42.54,2611909
2021-11-10,42.31,42.43,38.49,38.83,3527269
2021-11-11,40.29,42.87,39.36,42.66,2812928
2021-11-12,43.3,46.71,43.11,46.39,4495562
2021-11-15,44.54,46.06,42.67,43.49,2244345
2021-11-16,43.01,44.03,41.44,43.84,1454088
2021-11-17,43.84,45.43,43.79,44.62,1245416
2021-11-18,45,45,42.39,43.54,1207556
2021-11-19,43.2,43.91,42.14,42.7,1101645
2021-11-22,43.3,44.47,41.02,41.43,1861274
2021-11-23,41.11,42.95,40.45,41.69,1396177
2021-11-24,41.64,45.09,41.52,44.1,1744731
2021-11-26,42,43.48,41.36,42.56,804267
2021-11-29,43.41,46.8,42.81,45.37,1934961
2021-11-30,44.79,46.22,41.55,43.94,1852753
2021-12-01,45.58,48.18,42.75,42.79,2827873
2021-12-02,42.95,44.24,42.58,43.98,1240736
2021-12-03,43.85,43.85,40.23,41.48,2119169
2021-12-06,41.5,42.11,38.95,41.74,1323518
2021-12-07,43.49,45.29,42.25,42.64,1118862
2021-12-08,42.69,44.49,42.04,44.16,864834
2021-12-09,47.79,50.09,44.99,45.42,4357888
2021-12-10,49,49.7,45.79,47.26,2787193
2021-12-13,47.16,47.27,43.1,43.38,1952269
2021-12-14,42.5,42.6,40.48,41.86,1722686
2021-12-15,41.79,42.63,39.82,42.57,1571859
2021-12-16,43.73,44.25,41.39,41.85,1554470
2021-12-17,41.95,43,40.56,42.48,1583042
2021-12-20,41.19,42.34,40.85,42.09,931546
2021-12-21,42.73,43.98,41.81,43.7,926271
2021-12-22,43.87,44.85,43.1,43.52,942414
2021-12-23,43.59,44.19,42.5,43.12,932751
2021-12-27,43.99,46.49,43.48,46.4,1749980
2021-12-28,46.5,46.75,44.17,44.9,1137641
2021-12-29,44.7,45.23,43.5,44.56,1018658
2021-12-30,44.89,46.43,44.59,45.26,1106440
2021-12-31,44.78,45.9,43.65,45.42,961686
2022-01-03,45.68,48.2,45.68,47.65,1836509
2022-01-04,48,51.11,47.91,50.4,3127680
2022-01-05,50.73,53.03,45.37,45.51,4340706
2022-01-06,46.5,47.65,44.54,45.31,2108377
2022-01-07,46,46.9,44.54,45.52,1242608
2022-01-10,44.54,45.79,42.65,45.72,1980245
2022-01-11,45.9,48.39,45.1,47.72,1358994
2022-01-12,48.51,50.51,48.44,49.44,2154999
2022-01-13,49.13,49.56,45.7,45.89,1941403
2022-01-14,45.43,47.41,44.8,46.83,1339860
2022-01-18,46.52,48.46,45.55,46.88,1450797
2022-01-19,47.72,48.34,44.44,44.58,1483397
2022-01-20,44.9,46.15,42.22,42.35,1512921
2022-01-21,40.96,41.99,39.1,39.33,2630503
2022-01-24,38,40.15,35.77,40.09,2823219
2022-01-25,38.6,40.07,38.06,39.22,1639731
2022-01-26,41.04,41.66,38.25,38.97,1790341
2022-01-27,39.49,41.2,37.07,37.45,1806277
2022-01-28,37.07,38,35.65,37.96,1615537
2022-01-31,38,39.94,37.95,39.94,1190859
2022-02-01,40.8,41.65,39.17,40.36,1251865
2022-02-02,40.5,40.82,38.67,39.36,901210
2022-02-03,35.37,37.22,31.8,33.75,9959022
2022-02-04,34.16,36.39,34.05,35.83,3262016
2022-02-07,35.36,38.24,34.89,37.57,2335572
2022-02-08,37.16,38.19,36.65,38.12,948869
2022-02-09,39.82,40.5,38.95,39.36,1530062
2022-02-10,38.66,41.17,37.86,39.03,1506890
2022-02-11,38.28,40.84,38.25,40.03,1481941
2022-02-14,40.07,41.98,39.92,40.72,1443532
2022-02-15,40.72,43.68,40.61,43.24,1624502
2022-02-16,42.93,44.1,42.32,43.99,933169
2022-02-17,43.79,43.99,41.5,41.6,1276862
2022-02-18,41.87,42.2,39.95,41.31,1492004
2022-02-22,41.5,43.81,40.82,40.98,2209183
2022-02-23,41.6,42.66,40.2,40.84,1923376
2022-02-24,40,43.99,39.3,43.85,2412946
2022-02-25,43,46.98,41.25,46.85,3795567
2022-02-28,46,47.3,44.85,45.62,2100077
2022-03-01,43.5,43.95,40.75,41.03,4415758
2022-03-02,41.32,42.23,40.37,41.98,2163316
2022-03-03,41.91,41.96,39.33,40.09,2131801
2022-03-04,40.15,40.23,37.64,38.95,2334362
2022-03-07,39.22,40.39,38.15,39.37,2734017
2022-03-08,39.7,45,39.5,43.77,4794659
2022-03-09,44.03,46.25,43.77,45.48,2652069
2022-03-10,45.34,46.01,44.32,45.7,1602157
2022-03-11,45.9,45.9,43.6,43.73,1379043
2022-03-14,43.71,43.71,40.42,40.54,1863449
2022-03-15,40.27,41.96,39.44,41.54,1293611
2022-03-16,41.84,44.14,41.84,43.95,1797941
2022-03-17,43.44,44.36,43.28,43.8,1646306
2022-03-18,43.79,47.59,43.53,47.04,2604107
2022-03-21,47,49.35,45.84,49.1,2923677
2022-03-22,49.2,49.75,48.37,48.93,1745828
2022-03-23,48.93,51.48,48.63,50,1957565
2022-03-24,50.22,56.5,50.2,56.5,4900683
2022-03-25,55.69,57.45,53.4,54.81,2692559
2022-03-28,55,56.5,53.56,54.52,1684175
2022-03-29,53.85,54.89,52.03,54.64,1675238
2022-03-30,54.96,60.19,54.55,56.4,4533223
2022-03-31,56.63,59.29,56.6,57.34,2679916
2022-04-01,58.11,59.29,55.1,56.54,2145650
2022-04-04,57.8,59.58,56.95,58.26,1574208
2022-04-05,58.26,58.34,53.96,54.47,2389124
2022-04-06,54.18,54.55,52.32,53.34,1639227
2022-04-07,53.9,55.55,52.35,54,1269161
2022-04-08,53.65,53.9,50.75,52.48,1537780
2022-04-11,52.17,54,51.03,51.57,1526750
2022-04-12,52.83,53.55,48.91,49.12,1798151
2022-04-13,49.92,52.07,48.75,51.42,2446623
2022-04-14,51.42,52.11,48.92,49.07,1320179
2022-04-18,49.22,49.48,46.43,46.57,2412604
2022-04-19,46.49,48.61,45.53,47.5,1668852
2022-04-20,47.69,48.34,44.33,45.24,2179130
2022-04-21,46.01,47.13,41.72,42.44,2859384
2022-04-22,42.74,43.55,40.41,41.17,1716868
2022-04-25,40.04,42.09,39.63,41.64,1628394
2022-04-26,41.15,41.38,37.58,38.15,2569144
2022-04-27,39.2,40.23,38.3,38.76,1475429
2022-04-28,39.02,40.57,37.61,40,1457325
2022-04-29,40,41.69,37.85,38.04,1179047
2022-05-02,37.5,38.75,36.82,38.68,1520088
2022-05-03,38.68,40.36,38.44,39.53,1396680
2022-05-04,39.7,40.63,38.05,40.59,1623505
2022-05-05,40.99,41.01,38.02,39.75,2663558
2022-05-06,40,40.07,36.91,37.69,2739444
2022-05-09,37.58,39.3,36.91,38.29,2972043
2022-05-10,39.02,39.43,34.4,36.08,3678147
2022-05-11,36.05,37.24,33.88,34.2,2148167
2022-05-12,33.26,35.44,32.63,34.08,2046800
2022-05-13,34.7,36.33,34.61,35.48,2227128
2022-05-16,35.67,37.25,35.06,35.31,1700612
2022-05-17,36.36,39.2,36.23,38.69,1894655
2022-05-18,38.11,39.67,36.5,36.96,1971528
2022-05-19,36.69,39.54,36.55,38.94,1359275
2022-05-20,39.31,39.94,36.99,38.22,1682917
2022-05-23,38.66,39.78,38.39,39.26,1456404
2022-05-24,38.5,38.71,36.12,36.82,1652967
2022-05-25,36.78,38.62,35.85,38.27,1482511
2022-05-26,37.4,39.88,37.4,39.4,1761674
2022-05-27,40.06,40.77,39.4,40.13,1581031
2022-05-31,40.45,40.75,38.92,39.43,1066010
2022-06-01,40.18,40.38,37.79,38.97,1362614
2022-06-02,38.93,40.55,38.25,38.56,1758488
2022-06-03,38.08,38.82,36.01,38.71,1473970
2022-06-06,39.15,40.84,38.65,40.1,1932004
2022-06-07,39.88,42.84,39.71,42.13,2736631
2022-06-08,41.32,41.96,38.81,39.26,1863329
2022-06-09,38.91,39.39,38.07,38.47,1037074
2022-06-10,37.78,39.08,36.74,37.19,1244981
2022-06-13,35.42,35.77,33.6,34.17,1782567
2022-06-14,34.42,35.53,33.85,35.1,1975305
2022-06-15,35.8,36.49,34.3,35.57,1202804
2022-06-16,34.58,35.09,31.8,32.38,2070692
2022-06-17,33.15,33.9,32.63,32.96,1949534
2022-06-21,33.66,34.48,33.41,34.03,1273731
2022-06-22,32.76,33.72,32.41,33.27,1078355
2022-06-23,33.29,33.65,30.83,32.1,2426627
2022-06-24,32.42,35.78,32.41,35.72,2258341
2022-06-27,35.94,36.59,34.88,35.88,1383982
2022-06-28,36.31,37.32,35.66,35.8,1262602
2022-06-29,35.87,35.87,33.87,34.11,1422556
2022-06-30,33.09,33.49,31.89,32.08,1989761
2022-07-01,31.9,32.58,31.2,31.56,1167153
2022-07-05,30.61,31.22,29.11,31.04,2000274
2022-07-06,30.7,30.98,29.32,30.12,1780603
2022-07-07,30.97,32.84,30.76,32.44,1816163
2022-07-08,32.04,32.31,30.89,31.19,1236294
2022-07-11,30.87,30.94,29.45,29.61,1588474
2022-07-12,29.25,30.31,28.9,29.22,1334180
2022-07-13,28.82,30.04,28.48,29.32,1541417
2022-07-14,28.5,29.25,27.98,28.37,2027764
2022-07-15,28.65,28.95,27.48,28.76,1613106
2022-07-18,29.6,29.76,28.8,28.9,1082215
2022-07-19,29.04,30.02,29.04,29.79,788685
2022-07-20,29.75,31.13,29.48,30.08,1171324
2022-07-21,29.98,30.21,28.92,29.66,1320923
2022-07-22,29.88,30.07,28.16,28.46,1198505
2022-07-25,30.54,31.52,29.44,31.17,6458219
2022-07-26,30.78,31.2,30.18,30.23,3895668
2022-07-27,30.29,31.39,29.8,31.19,1746613
2022-07-28,32.25,33.14,31.9,32.92,2213342
2022-07-29,33.15,34.03,32.65,33.57,1624639
2022-08-01,33.35,33.82,32.74,33.28,1316297
2022-08-02,32.8,34.16,32.8,33.9,1522036
2022-08-03,34.55,34.88,33.55,34.68,1598300
2022-08-04,34.75,35.52,34.12,35.06,1515404
2022-08-05,35.19,38.51,34.46,38.48,2451737
2022-08-08,39.21,40.12,38.81,39.29,2001373
2022-08-09,38.75,38.83,37.05,37.47,1983949
2022-08-10,38.65,38.97,37.7,38.52,1943874
2022-08-11,39.06,39.69,37.68,37.81,1739113
2022-08-12,37.83,38.54,37.12,38.02,1573718
2022-08-15,37.11,37.38,36.41,37.21,1549050
2022-08-16,37.73,37.81,36.51,37.07,998381
2022-08-17,36.44,36.54,35.46,35.89,1634396
2022-08-18,36.17,36.69,35.66,36.27,1292427
2022-08-19,35.5,35.64,34.86,35.11,1270293
2022-08-22,34.25,34.92,34.01,34.51,1088476
2022-08-23,34.9,36.1,34.68,35.75,1580668
2022-08-24,35.7,37.26,35.55,37.16,1070973
2022-08-25,37.54,38.23,37.03,37.97,1227388
2022-08-26,38.34,38.34,36.16,36.28,911130
2022-08-29,35.55,36.23,35.1,35.92,1144988
2022-08-30,35.67,36.36,34.09,34.47,1493485
2022-08-31,34.5,35.24,34.07,34.99,828580
2022-09-01,34.15,34.65,32.24,32.31,2294846
2022-09-02,32.79,33.18,32.04,32.12,1319537
2022-09-06,32.61,32.67,31.08,31.23,1557359
2022-09-07,31,31.84,30.79,31.66,1318481
2022-09-08,31.5,32.68,31.1,32.67,1385898
2022-09-09,33.23,33.96,33.06,33.89,1450492
2022-09-12,34.39,34.46,32.82,33.06,1280604
2022-09-13,31.69,33.06,31.53,32.37,1177947
2022-09-14,32.2,32.51,31.43,32.37,1092399
2022-09-15,32.07,33.21,31.86,32.07,1926682
2022-09-16,31.42,31.85,30.91,31.38,1250775
2022-09-19,30.6,32.25,30.57,32.2,1198399
2022-09-20,31.89,32.72,31.49,31.85,1281521
2022-09-21,32.17,33.13,31.51,31.68,1349415
2022-09-22,32.12,32.32,30.31,30.55,1081305
2022-09-23,29.87,29.9,28.16,28.89,2661267
2022-09-26,28.5,29.65,27.86,27.97,1752229
2022-09-27,28.63,29.14,27.64,27.81,1775670
2022-09-28,27.62,28.88,27.5,28.78,1464138
2022-09-29,28.5,28.8,26.45,27.02,2115005
2022-09-30,26.75,27.76,26.19,27.3,1231883
2022-10-03,27.78,29.14,27.32,28.92,1466958
2022-10-04,29.71,30.9,29.68,30.72,1613994
2022-10-05,29.91,31.12,29.59,30.92,1094442
2022-10-06,30.41,31.4,30.41,30.79,717304
2022-10-07,30.24,30.59,29.55,29.68,835923
2022-10-10,29.84,30.61,29.33,30.32,858153
2022-10-11,29.9,30.19,28.73,29.07,909768
2022-10-12,28.86,28.99,28.11,28.75,864722
2022-10-13,27.66,29.45,27.1,29.37,1195919
2022-10-14,29.43,29.75,27.2,27.25,1158133
2022-10-17,28.23,28.5,27.7,27.93,1062886
2022-10-18,28.75,29.6,28.19,28.5,1810900
2022-10-19,28.07,29.35,27.95,28.68,1447007
2022-10-20,28.32,29.41,27.91,28.04,1141578
2022-10-21,28.1,30.45,27.8,30.37,1324547
2022-10-24,30.03,30.74,29.66,29.98,1048643
2022-10-25,29.83,31.65,29.83,31.63,1017413
2022-10-26,31.74,32.6,31.47,31.49,1282898
2022-10-27,31.57,31.77,30.75,31.04,1201681
2022-10-28,30.88,30.88,29.41,30.23,1184071
2022-10-31,30.16,30.4,29.55,30.04,790964
2022-11-01,31.28,31.99,31.24,31.55,1647554
2022-11-02,31.25,31.57,28.94,28.98,1237130
2022-11-03,28.66,29.49,27.8,29.06,1665372
2022-11-04,31.75,33.87,31.11,31.58,2746379
2022-11-07,32.11,32.16,30.38,30.97,993600
2022-11-08,31.11,32.63,30.69,31.81,1388726
2022-11-09,31.17,31.58,30.01,30.15,811056
2022-11-10,31.87,32.91,31.26,32.4,1689285
2022-11-11,33.22,35.68,32.86,35.38,1724512
2022-11-14,34.61,35.32,34.3,34.36,1139994
2022-11-15,35.25,36.09,34.91,35.36,1676690
2022-11-16,34.62,35.03,33.24,33.37,1637132
2022-11-17,32.28,32.94,32.07,32.47,771883
2022-11-18,32.77,32.99,31.89,32.68,770839
2022-11-21,32.12,32.29,31.31,32.08,773823
2022-11-22,32.5,33.76,32.28,33.76,1153999
2022-11-23,33.61,34.33,33.35,34.05,642044
2022-11-25,33.76,34.04,32.92,33.27,379154
2022-11-28,32.5,32.97,31.13,31.2,1142211
2022-11-29,31.7,32,31.08,31.08,815050
2022-11-30,31.55,33.35,31.15,33.25,1166006
2022-12-01,33.48,34.34,32.31,32.93,1067844
2022-12-02,32.51,33.75,32.26,33.75,1181538
2022-12-05,33.74,33.92,32.34,32.5,868861
2022-12-06,32.71,32.71,30.28,30.36,1651379
2022-12-07,30.25,31.45,30.17,30.83,1070903
2022-12-08,31.28,32.3,31,31.62,1214425
2022-12-09,31.37,32.04,30.85,30.88,689583
2022-12-12,30.84,31.46,30.68,31.39,908048
2022-12-13,32.8,33,31.16,31.65,1326688
2022-12-14,31.34,31.77,30.99,31.13,1011423
2022-12-15,30.5,30.65,28.87,29.27,2344130
2022-12-16,28.9,29.42,28.46,28.61,1810042
2022-12-19,28.62,28.71,27.44,27.69,1563166
2022-12-20,27.64,28.68,27.64,28.55,1374550
2022-12-21,28.75,29.15,28.41,28.7,1424542
2022-12-22,28.08,28.27,24.11,24.6,6075467
2022-12-23,24.7,25.46,24.5,25.02,3182838
2022-12-27,25.07,25.25,24.31,24.51,2205475
2022-12-28,24.36,24.47,23.49,23.67,1734746
2022-12-29,24.05,24.6,23.99,24.47,1314181
2022-12-30,24.2,24.41,23.76,24.28,1378567
2023-01-03,24.78,25.15,23.66,24.14,1413915
2023-01-04,24.49,25.19,24.22,24.97,2372100
2023-01-05,24.91,26.27,24.69,24.83,1835303
2023-01-06,25.02,26.5,24.75,26.45,1654746
2023-01-09,26.89,28.23,26.59,27.09,1827302
2023-01-10,27.09,27.88,27.09,27.86,1091060
