date,open,high,low,close,volume
2021-08-16,154.75,155.42,154.08,155.37,2095789
2021-08-17,154.48,154.53,152.94,154.2,2636015
2021-08-18,153.84,154.38,152.51,152.61,1493473
2021-08-19,151.45,152.81,151.22,152.27,2349637
2021-08-20,152.23,153.55,151.97,153.37,1909298
2021-08-23,154.25,154.87,154.16,154.52,1510428
2021-08-24,154.88,155.44,154.8,155.15,983646
2021-08-25,155.3,156.35,154.89,155.97,1042179
2021-08-26,155.85,155.89,154.75,154.9,1469694
2021-08-27,155.25,156.8,155.25,156.56,1386123
2021-08-30,156.68,156.88,156.17,156.33,1298351
2021-08-31,156.33,156.51,155.96,156.3,1235464
2021-09-01,156.69,156.69,155.77,156.33,981935
2021-09-02,156.92,157.46,156.84,157.39,1105174
2021-09-03,157.08,157.22,156.7,156.88,904871
2021-09-07,156.57,156.86,155.43,155.57,1327055
2021-09-08,155.32,155.9,154.82,155.47,1095335
2021-09-09,155.35,156.24,154.97,155.03,1113704
2021-09-10,155.79,155.9,153.97,154.01,1586948
2021-09-13,155.15,155.33,153.67,154.44,1676819
2021-09-14,154.91,155.01,153.01,153.34,1663560
2021-09-15,153.37,154.93,153.05,154.7,1864362
2021-09-16,154.63,155.0,153.6,154.41,1440376
2021-09-17,154.04,154.43,152.94,153.04,1882837
2021-09-20,150.11,150.73,148.4,150.18,3250820
2021-09-21,151.05,151.31,149.44,149.64,1848555
2021-09-22,150.66,152.3,150.56,151.32,2375959
2021-09-23,152.13,154.4,152.07,153.54,2283178
2021-09-24,153.09,154.16,153.06,153.8,1693222
2021-09-27,154.1,155.14,154.03,154.31,2393291
2021-09-28,153.87,153.98,151.79,152.0,3824238
2021-09-29,152.5,153.09,152.01,152.33,2004793
2021-09-30,152.76,152.76,149.77,149.82,3159460
2021-10-01,150.59,152.63,149.41,151.84,2630905
2021-10-04,151.57,152.51,150.22,150.88,3398763
2021-10-05,151.44,152.91,150.89,151.96,1596573
2021-10-06,150.66,152.18,149.64,152.17,2202386
2021-10-07,153.22,154.49,153.22,153.46,1857452
2021-10-08,153.67,153.92,152.98,153.1,1482650
2021-10-11,153.21,154.12,152.23,152.26,1152780
2021-10-12,152.43,153.16,151.93,152.3,1260429
2021-10-13,152.33,152.99,151.04,152.55,1852999
2021-10-14,153.83,155.18,153.67,155.17,1369093
2021-10-15,156.09,156.57,155.63,155.7,1700198
2021-10-18,155.06,156.09,154.69,155.76,1407720
2021-10-19,156.4,156.74,155.89,156.67,1324573
2021-10-20,156.65,158.01,156.63,157.87,1619240
2021-10-21,157.64,158.08,157.14,158.06,1555066
2021-10-22,158.25,159.04,157.8,158.51,1274974
2021-10-25,158.85,159.35,158.26,158.87,2251363
2021-10-26,159.29,159.39,158.51,158.56,1987974
2021-10-27,158.51,158.56,156.42,156.45,2033154
2021-10-28,156.8,158.06,156.75,158.04,1433005
2021-10-29,157.69,158.24,157.23,157.76,1050606
2021-11-01,158.28,159.1,158.11,159.02,1751634
2021-11-02,159.36,159.62,158.82,159.46,1383542
2021-11-03,158.99,160.56,158.97,160.4,2000539
2021-11-04,160.53,160.98,159.51,160.07,1879069
2021-11-05,161.3,162.14,160.73,161.29,1642605
2021-11-08,162.0,162.26,161.19,161.53,1015236
2021-11-09,161.54,161.87,160.85,161.51,890875
2021-11-10,161.1,161.76,160.06,160.48,1675552
2021-11-11,160.77,161.02,160.45,160.87,887648
2021-11-12,161.3,161.85,160.85,161.65,904735
2021-11-15,162.17,162.23,161.61,161.93,966608
2021-11-16,162.01,162.8,161.85,162.14,1438208
2021-11-17,161.97,162.06,160.9,161.28,1326539
2021-11-18,161.63,161.63,159.92,160.69,1027207
2021-11-19,160.37,160.45,159.53,159.65,1311581
2021-11-22,160.25,161.29,159.86,159.9,1796253
2021-11-23,160.07,160.77,159.36,160.56,1691056
2021-11-24,159.82,160.78,159.68,160.64,1296594
2021-11-26,157.24,157.57,155.78,156.46,2830711
