date,open,high,low,close,volume
2021-08-16,21.12,21.6,20.5,20.64,0
2021-08-17,21.48,22.7,21.12,21.7,0
2021-08-18,21.98,23.84,21.54,23.8,0
2021-08-19,24.66,25.15,23.37,24.2,0
2021-08-20,23.96,23.96,21.96,22.41,0
2021-08-23,21.82,21.82,21.02,21.2,0
2021-08-24,21.25,21.41,21.09,21.22,0
2021-08-25,21.24,21.27,20.59,20.79,0
2021-08-26,21.04,22.08,20.93,21.86,0
2021-08-27,21.33,21.33,20.23,20.61,0
2021-08-30,20.48,20.64,20.29,20.4,0
2021-08-31,20.68,20.87,20.4,20.42,0
2021-09-01,20.4,20.59,19.91,20.08,0
2021-09-02,19.91,20.45,19.83,20.13,0
2021-09-03,20.42,20.73,20.14,20.32,0
2021-09-07,21.09,21.56,20.98,21.53,0
2021-09-08,22.02,22.47,21.46,21.59,0
2021-09-09,21.76,22.17,21.02,22.06,0
2021-09-10,21.06,23.37,20.98,23.31,0
2021-09-13,22.13,23.56,22.06,22.47,0
2021-09-14,22.08,23.24,21.98,22.55,0
2021-09-15,22.61,23.01,21.59,21.76,0
2021-09-16,22.15,22.7,21.29,21.81,0
2021-09-17,22.13,23.51,21.83,23.22,0
2021-09-20,26.1,28.57,24.73,26.4,0
2021-09-21,25.36,26.29,24.55,25.47,0
2021-09-22,24.37,24.61,22.75,23.05,0
2021-09-23,22.31,22.32,21.32,21.37,0
2021-09-24,22.18,22.18,20.81,20.82,0
2021-09-27,21.38,21.55,20.86,21.4,0
2021-09-28,22.31,24.78,22.26,24.03,0
2021-09-29,23.66,24.36,23.23,23.72,0
2021-09-30,22.99,24.88,22.62,23.87,0
2021-10-01,23.41,24.54,22.63,23.05,0
2021-10-04,23.61,25.18,23.34,24.11,0
2021-10-05,23.74,23.91,22.62,23.11,0
2021-10-06,23.99,24.79,22.83,22.84,0
2021-10-07,22.35,22.35,21.83,22.12,0
2021-10-08,21.81,22.1,21.56,21.88,0
2021-10-11,22.39,22.51,21.45,22.39,0
2021-10-12,22.19,22.75,21.79,22.33,0
2021-10-13,21.79,22.43,21.36,21.54,0
2021-10-14,20.79,20.89,20.32,20.37,0
2021-10-15,20.29,20.43,19.79,20.3,0
2021-10-18,21.02,21.1,20.28,20.29,0
2021-10-19,20.29,20.38,19.88,19.98,0
2021-10-20,19.98,20.21,19.84,19.87,0
2021-10-21,20.11,20.16,19.4,19.48,0
2021-10-22,19.63,20.5,19.39,20.01,0
2021-10-25,20.03,20.43,19.48,19.56,0
2021-10-26,19.48,20.62,19.46,20.11,0
2021-10-27,20.13,21.11,19.86,20.89,0
2021-10-28,20.5,20.74,20.28,20.48,0
2021-10-29,21.11,21.11,20.29,20.37,0
2021-11-01,20.62,21.2,20.37,20.39,0
2021-11-02,20.4,20.42,20.05,20.1,0
2021-11-03,20.18,20.3,19.26,19.5,0
2021-11-04,19.33,20.08,19.26,19.7,0
2021-11-05,19.64,20.75,19.57,20.49,0
2021-11-08,20.53,21.4,20.48,20.98,0
2021-11-09,21.04,21.88,21.04,21.41,0
2021-11-10,21.81,22.64,21.02,22,0
2021-11-11,21.5,21.67,21.17,21.38,0
2021-11-12,21.05,21.26,20.57,20.69,0
2021-11-15,20.91,21.56,20.82,20.87,0
2021-11-16,21.14,21.14,20.58,20.9,0
2021-11-17,20.97,21.65,20.9,21.58,0
2021-11-18,21.4,22.16,21.31,21.9,0
2021-11-19,22.29,22.59,21.51,21.92,0
2021-11-22,21.67,22.89,21.59,22.63,0
2021-11-23,22.86,23.57,22.23,22.45,0
2021-11-24,23.14,23.42,21.9,21.9,0
2021-11-26,25.53,29.25,24.83,29.17,0
2021-11-29,25.59,26.25,23.97,25.04,0
2021-11-30,26.61,28.82,25.67,28.13,0
2021-12-01,26.19,31.84,25.13,30.79,0
2021-12-02,29.95,30.89,28.56,29.15,0
2021-12-03,28.45,34.77,28.17,31.78,0
2021-12-06,30.07,31.24,28.75,28.88,0
2021-12-07,26.79,26.79,24.7,24.96,0
2021-12-08,25.02,25.33,23.62,23.63,0
2021-12-09,23.98,25.13,23.53,24.66,0
2021-12-10,23.26,24.29,23.07,23.18,0
2021-12-13,23.72,24.68,23.71,24.32,0
2021-12-14,25.44,26.15,24.74,25.35,0
2021-12-15,25.26,26.31,23.12,23.3,0
2021-12-16,22.94,25.42,22.85,24.37,0
2021-12-17,25.58,26.23,24.4,25.38,0
2021-12-20,28.35,29.08,26.3,26.31,0
2021-12-21,25.69,26.22,24.87,25,0
2021-12-22,24.86,24.93,23.48,23.56,0
