date,open,high,low,close,volume
2021-08-16,243.75,245.2,237.3,243.43,621725
2021-08-17,243.43,243.43,237,241.47,687035
2021-08-18,242.15,244.84,237.58,242.54,579613
2021-08-19,242.05,245.63,241.69,244.88,735832
2021-08-20,246.65,250,243.64,246.4,739564
2021-08-23,248.99,252.65,246.23,250.81,675619
2021-08-24,258.97,259.84,255.63,257.97,982524
2021-08-25,258.35,263.55,256.97,263.03,984328
2021-08-26,263,270.9,262.54,266.97,1130450
2021-08-27,268.67,275,266.77,273.73,849816
2021-08-30,275.8,279.29,272.57,278.17,1004037
2021-08-31,276.34,279.14,273.11,278.34,794618
2021-09-01,275.96,279.53,275.56,276.71,928293
2021-09-02,277.11,284.79,276.35,282.2,1130647
2021-09-03,282.74,288.87,281.38,287.4,1228446
2021-09-07,293.44,293.44,280.05,282.91,1289318
2021-09-08,282.5,283.99,277.2,280.66,1227721
2021-09-09,280.42,284.25,278.63,280.22,1753059
2021-09-10,289.03,289.03,269.52,270.64,3047344
2021-09-13,267.6,269.55,260.12,267.84,1737520
2021-09-14,269.94,276,269.07,275.8,1434900
2021-09-15,275.87,278.03,270.16,273.44,905967
2021-09-16,273.25,274.64,266.71,274.39,1491460
2021-09-17,273,276.51,269.67,275.66,1501125
2021-09-20,268.18,275,267.28,269.98,1210529
2021-09-21,271.76,275.74,269.48,272.33,728169
2021-09-22,273.6,279.17,271.15,277.7,1017102
2021-09-23,279.94,281.9,276.35,280.02,871027
2021-09-24,280,280.4,271.3,279.99,709576
2021-09-27,277.28,279.58,271.21,272.73,1128642
2021-09-28,267.74,268,256.01,258.74,2267103
2021-09-29,263.41,265.42,256.8,258.88,1510729
2021-09-30,260.41,263.52,258.3,262.22,753416
2021-10-01,263.17,264.85,257.09,263.16,735603
2021-10-04,261.35,261.35,248.33,251.86,1580337
2021-10-05,253.45,260,252.5,258.5,891010
2021-10-06,256.28,265.62,255.1,264.25,1346482
2021-10-07,266.02,274.24,265.58,269.88,1249495
2021-10-08,272.3,272.3,266,266.66,835216
2021-10-11,264.14,271.17,262.02,267.7,850692
2021-10-12,270.08,278.34,266.76,277.72,1328879
2021-10-13,279.78,287.97,279.32,286.64,1385363
2021-10-14,290,294.2,288.66,293.89,1049998
2021-10-15,294.5,294.99,291.61,292.7,850236
2021-10-18,292.51,301.33,291.6,301.31,981529
2021-10-19,302.01,303.61,297.41,298.03,975817
2021-10-20,300.21,301.77,294.4,297.67,492775
2021-10-21,298.7,305.77,298.41,305.69,787229
2021-10-22,305.86,309.69,304.01,307.87,615287
2021-10-25,308,314.11,305.57,311.2,681503
2021-10-26,313.7,316,307.89,315.32,1188516
2021-10-27,316.2,319.84,309.01,310.1,815601
2021-10-28,310.94,316.99,308.24,316.34,894562
2021-10-29,315.95,319.99,314,318.86,649117
2021-11-01,318.98,321.5,315.13,318.68,910982
2021-11-02,318.51,326.2,318.02,325.87,798998
2021-11-03,328.5,328.88,321.31,327.5,731631
2021-11-04,329,333.88,325.16,331.9,847108
2021-11-05,333.95,338.54,332.11,338.49,1122756
2021-11-08,340.55,351.9,339.37,350.17,1204378
2021-11-09,353.4,356.45,347.72,352.61,1268197
2021-11-10,348.27,350.62,333.73,337.11,1274848
2021-11-11,343.23,348.27,342.23,343.62,954802
2021-11-12,346.9,349.57,343.16,349.07,628646
2021-11-15,352.91,352.91,341.83,345.8,749828
2021-11-16,345.8,355.41,345.61,353.75,812072
2021-11-17,352.75,358.13,345.74,356,799839
2021-11-18,358.03,369.9,358.03,365.65,968396
2021-11-19,372.5,376.11,367.54,368.78,1005782
2021-11-22,367,368,342.22,343.86,1423366
2021-11-23,337,345.58,330.66,336.11,1393358
2021-11-24,334.77,343.71,328.47,342.47,745510
2021-11-26,342.99,347.65,335.38,336.9,468531
2021-11-29,344.63,358.36,342.27,355.92,1412933
2021-11-30,356.44,358.82,343.69,346.97,2016522
2021-12-01,371.06,373.74,314.7,318.21,3749792
2021-12-02,318.22,334.74,316.51,331.97,1492410
2021-12-03,329.96,330,300.54,313.35,1543015
2021-12-06,302.01,304.17,265.33,274.36,5144294
2021-12-07,286,300.44,285.01,297.76,2465447
2021-12-08,298.83,313.41,293.2,311.81,1240813
2021-12-09,313,317.78,300.26,303.04,1073347
2021-12-10,303.5,311.87,300.5,305.75,1175453
2021-12-13,311.1,320.99,304.17,308.54,1541125
2021-12-14,285.77,287.83,272.52,284.34,3555429
2021-12-15,282.97,309.04,281.55,307.24,1668825
2021-12-16,305.64,307.19,291.78,295.25,1644461
2021-12-17,286.71,307.07,285,304.87,1779673
2021-12-20,298.45,308.49,294.53,305.94,1088822
2021-12-21,307.96,320.69,300.11,319.42,1413439
2021-12-22,319.08,322.48,314.02,322.01,777840
2021-12-23,322,326.24,316.75,323,551469
2021-12-27,326.85,332.5,326.39,329.89,722357
2021-12-28,332.05,332.05,321.65,324.66,514502
2021-12-29,325.31,326,317,323.18,505832
